name_a,name_b,token_sort_score,partial_ratio_score,recommended_canonical,match_reason,raw_variants_a,raw_variants_b
asociacion de mujeres indigenas chagra de la vida,asociacion deme,46.9,93.3,asociacion de mujeres indigenas chagra de la vida,partial_ratio,Asociación de Mujeres Indígenas Chagra de la Vida,Asociación Demé
european commission,european commission directorate general for external relations,46.9,100.0,european commission,partial_ratio,European Commission,European Commission Directorate-General for External Relations
alternative energy promotion centre,alternatives,46.8,95.7,alternatives,partial_ratio,Alternative Energy Promotion Centre,Alternatives
european union,european union emergency trust fund for africa,46.7,100.0,european union,partial_ratio,European Union,European Union Emergency Trust Fund for Africa
ministry of education,ministry of education life long learning and religious affairs greece,46.7,100.0,ministry of education life long learning and religious affairs greece,partial_ratio,Ministry of Education,"Ministry of Education, Life Long Learning, and Religious Affairs - Greece"
united nations,united nations central emergency response fund,46.7,100.0,united nations,partial_ratio,United Nations,United Nations Central Emergency Response Fund
united nations,united nations children s fund spain committee,46.7,100.0,united nations,partial_ratio,United Nations,United Nations Children's Fund - Spain Committee
united nations,united nations multi partner trust fund office,46.7,100.0,united nations,partial_ratio,United Nations,United Nations Multi-Partner Trust Fund Office
ministry of environment,ministry of environment territory planning and regional development portugal,46.5,100.0,ministry of environment,partial_ratio,Ministry of Environment,"Ministry of Environment, Territory Planning and Regional Development - Portugal"
united nations,united nations children s fund canada committee,45.9,100.0,united nations,partial_ratio,United Nations,United Nations Children's Fund - Canada Committee
fundacion esar,fundacion escuela nueva volvamos a la gente,45.6,92.3,fundacion escuela nueva volvamos a la gente,partial_ratio,Fundación ESAR,Fundación Escuela Nueva Volvamos a la Gente
european union,european union capacity building mission in mali,45.2,100.0,european union,partial_ratio,European Union,European Union Capacity Building Mission in Mali
united nations,united nations children s fund belgium committee,45.2,100.0,united nations,partial_ratio,United Nations,United Nations Children's Fund - Belgium Committee
united nations,united nations department of safety and security,45.2,100.0,united nations,partial_ratio,United Nations,United Nations Department of Safety and Security
united nations,united nations development programme south sudan,45.2,100.0,united nations,partial_ratio,United Nations,United Nations Development Programme South Sudan
united nations,united nations development programme timor leste,45.2,100.0,united nations,partial_ratio,United Nations,United Nations Development Programme Timor Leste
united nations,united nations integrated mission in timor leste,45.2,100.0,united nations,partial_ratio,United Nations,United Nations Integrated Mission in Timor-Leste
asociacion de productores indigenas y campesinos,asociacion deme,44.4,92.9,asociacion de productores indigenas y campesinos,partial_ratio,Asociación de Productores Indígenas y Campesinos,Asociación Demé
european union,european union border assistance mission to libya,44.4,100.0,european union,partial_ratio,European Union,European Union Border Assistance Mission to Libya
united nations,united nations institute for disarmament research,44.4,100.0,united nations,partial_ratio,United Nations,United Nations Institute for Disarmament Research
asociacion pro fundacion para las ciencias sociales,asociacion proyde,44.1,90.3,asociacion proyde,partial_ratio,Asociación Pro-Fundación para las Ciencias Sociales,ASOCIACIÓN PROYDE
asociacion de victimas por la paz y el desarrollo,asociacion deme,43.8,92.9,asociacion deme,partial_ratio,Asociación de Victimas por la Paz y el Desarrollo,Asociación Demé
fundacion acodea,fundacion cideal de cooperacion e investigacion de espana,43.8,90.3,fundacion cideal de cooperacion e investigacion de espana,partial_ratio,Fundación Acodea,Fundación CIDEAL de Cooperación e Investigación de España
united nations,united nations children s fund australia committee,43.8,100.0,united nations,partial_ratio,United Nations,United Nations Children's Fund - Australia Committee
united nations,united nations conference on trade and development,43.8,100.0,united nations,partial_ratio,United Nations,United Nations Conference on Trade and Development
united nations,united nations development programme guinea bissau,43.8,100.0,united nations,partial_ratio,United Nations,United Nations Development Programme Guinea-Bissau
united nations,united nations industrial development organization,43.8,100.0,united nations,partial_ratio,United Nations,United Nations Industrial Development Organization
united nations,united nations institute for training and research,43.8,100.0,united nations,partial_ratio,United Nations,United Nations Institute for Training and Research
universite de moncton,universite de montreal office of research services and development,43.7,92.3,universite de montreal office of research services and development,partial_ratio,Université de Moncton,Université de Montréal - Office of Research Services and Development
government of australian capital territory,government of mali,43.3,90.9,government of mali,partial_ratio,Government of Australian Capital Territory,Government of Mali
escuela eaci,escuela nacional sindical,43.2,91.7,escuela eaci,partial_ratio,Escuela EACI,Escuela Nacional Sindical
international monetary fund,international monetary fund subsidization of emergency post conflict assistance emergency assistan,43.2,100.0,international monetary fund,partial_ratio,International Monetary Fund,International Monetary Fund - Subsidization of Emergency Post Conflict Assistance/Emergency Assistan
salesian missionary voluntary service youth for the world,salesian missions,43.2,97.0,salesian missions,partial_ratio,Salesian Missionary Voluntary Service - Youth For The World,Salesian Missions
european union,european union capacity building mission in somalia,43.1,100.0,european union,partial_ratio,European Union,European Union Capacity Building Mission in Somalia
united nations,united nations mission for justice support in haiti,43.1,100.0,united nations,partial_ratio,United Nations,United Nations Mission for Justice Support in Haiti
united nations,united nations university centre for policy research,42.4,100.0,united nations,partial_ratio,United Nations,United Nations University Centre for Policy Research
united nations,united nations children s fund united states committee,41.2,100.0,united nations,partial_ratio,United Nations,United Nations Children's Fund - United States Committee
asociacion de consejos comunitarios del norte del cauca,asociacion deme,40.0,92.9,asociacion deme,partial_ratio,Asociación de Consejos Comunitarios del Norte del Cauca,Asociación Demé
united nations,united nations department of economic and social affairs,40.0,100.0,united nations,partial_ratio,United Nations,United Nations Department of Economic and Social Affairs
ministry of planning economic development and international cooperation puntland,ministry of planning niger,39.6,91.7,ministry of planning niger,partial_ratio,"Ministry of Planning, Economic Development and International Cooperation - Puntland",Ministry of Planning - Niger
