raw_name,cleaned_name
Ministry of Health and Social Solidarity - Greece,ministry of health and social solidarity greece
Ministry of Infrastructure - Chad,ministry of infrastructure chad
Ministry of Internal Affairs - Liberia,ministry of internal affairs liberia
Ministry of Justice - Romania,ministry of justice romania
"Ministry of Labour, Youth and Sports - Puntland",ministry of labour youth and sports puntland
Ministry of Legal Affairs,ministry of legal affairs
Ministry of Livestock - Mauritania,ministry of livestock mauritania
"Ministry of Livestock, Fisheries and Rural Development",ministry of livestock fisheries and rural development
Ministry of Local Administration,ministry of local administration
Ministry of National Guard Health Affairs - Saudi Arabia,ministry of national guard health affairs saudi arabia
Ministry of Oil and Mineral Resources,ministry of oil and mineral resources
"Ministry of Planning, Economic Development and International Cooperation - Puntland",ministry of planning economic development and international cooperation puntland
Ministry of Public Health,ministry of public health
Ministry of Public Health - DRC,ministry of public health drc
Ministry of Public Works - Cameroon,ministry of public works cameroon
Ministry of Social Welfare,ministry of social welfare
"Ministry of Social Welfare, Relief and Resettlement",ministry of social welfare relief and resettlement
Ministry of Technical Education and Vocational Training - Yemen,ministry of technical education and vocational training yemen
Ministry of Wildlife Conservation and Tourism,ministry of wildlife conservation and tourism
Ministry of Women Development and Family Affairs,ministry of women development and family affairs
Ministry of Industry and Trade - Czech Republic,ministry of industry and trade czech republic
Minka-Dev,minka dev
MIPROS,mipros
MIRAL Welfare Foundation,miral welfare foundation
Miyamoto Relief,miyamoto relief
Moulders Ltd,moulders
Moulin Moderne Du Mali SA,moulin moderne du mali sa
MSI Reproductive Choices South Sudan,msi reproductive choices south sudan
Muloma Women's Development Association,muloma women s development association
Multilateral Debt Relief Initiative,multilateral debt relief initiative
Mundri East Peacemaker Agribusiness Enterprise Ltd,mundri east peacemaker agribusiness enterprise
Municipality of Tyre,municipality of tyre
Municipio de Bogotá,municipio de bogota
Musée National des Costumes,musee national des costumes
Muslim World League,muslim world league
Myanmar Agricultural Produce Trading,myanmar agricultural produce trading
Nahd Developmental Foundation,nahd developmental foundation
Nahrain International Company,nahrain international company
Naqabah-Nisab Road,naqabah nisab road
Narayan Manader,narayan manader
Nassaim Water Project,nassaim water project
National Agency for State Reserves and Special Problems - Romania,national agency for state reserves and special problems romania
National Agricultural Research and Innovation Center - Hungary,national agricultural research and innovation center hungary
National AIDS Commission,national aids commission
National Authority to Combat Drought and Food Security,national authority to combat drought and food security
National Caucus of Fezzan,national caucus of fezzan
National Centre of Scientific Research Demokritos - Greece,national centre of scientific research demokritos greece
National Commission for Lebanese Women,national commission for lebanese women
"National Council for the Fight against HIV/AIDS, Tuberculosis, Malaria, Hepatitis, Sexually Transmitted Infections and Epidemics - Benin",national council for the fight against hiv aids tuberculosis malaria hepatitis sexually transmitted infections and epidemics benin
National Council for the Struggle against HIV/AIDS and STI - Burkina Faso,national council for the struggle against hiv aids and sti burkina faso
National Council of YMCAs of Ireland,national council of ymcas of ireland
National Defense General Staff - Greece,national defense general staff greece
National Evangelical Synod of Syria and Lebanon,national evangelical synod of syria and lebanon
National Fire Brigade Corps - Italy,national fire brigade corps italy
National Foundation for Democracy and Human Rights in Uganda,national foundation for democracy and human rights in uganda
National Integrity Agency - Romania,national integrity agency romania
National Museum in Warsaw,national museum in warsaw
National Office of Protection of Refugees and Stateless Persons - Burundi,national office of protection of refugees and stateless persons burundi
National Population Council,national population council
National Radiotherapy Oncology and Nuclear Medicine Centre,national radiotherapy oncology and nuclear medicine centre
National Societies of the Red Cross and Red Crescent,national societies of the red cross and red crescent
National Union of Diocesan Relief and Development Association - Caritas Chad,national union of diocesan relief and development association caritas chad
National Water and Electricity Company,national water and electricity company
National Yemeni Midwives Association,national yemeni midwives association
Nature Somaliland,nature somaliland
Naturvernforbundet,naturvernforbundet
Nederlands Instituut Publieke Veiligheid,nederlands instituut publieke veiligheid
Nepal Capacity 21,nepal capacity 21
Nepal CRS Company,nepal crs company
Nepal National Dalit Social Welfare Organization,nepal national dalit social welfare organization
Nepal Trust Austria,nepal trust austria
Nestlé de Colombia S.A.,nestle de colombia s a
Network Movement for Justice and Development,network movement for justice and development
New Family for Development,new family for development
New Venture Fund,new venture fund
New York Academy of Sciences,new york academy of sciences
Nord Pool Consulting,nord pool consulting
Norges Kristne Råd,norges kristne rad
NORPLAN,norplan
North-West Sennar Sugar Plant,north west sennar sugar plant
Norwegian Accreditation,norwegian accreditation
Norwegian Forestry Group,norwegian forestry group
Norwegian Mapping Authority,norwegian mapping authority
Norweigan Copyright Development Association,norweigan copyright development association
Notodden Blues Festival,notodden blues festival
NOVA Center for Social Innovation,nova center for social innovation
NRD Companies,nrd companies
Observatorio Colombiano de Ciencia y Tecnología,observatorio colombiano de ciencia y tecnologia
Oeuvre Humanitaire pour la Protection et le Développement de l’Enfant en Difficulté - Burundi,oeuvre humanitaire pour la protection et le developpement de l’enfant en difficulte burundi
Office de Management et des Ressources Humaines,office de management et des ressources humaines
Office Depot,office depot
"Office of Programme Planning, Finance and Budget",office of programme planning finance and budget
Office of the HM Paymaster General - United Kingdom,office of the hm paymaster general united kingdom
Office of the Ombudsman in Burundi,office of the ombudsman in burundi
Office of the United Nations High Commissioner for Human Rights - Cork,office of the united nations high commissioner for human rights cork
Oltre Radio,oltre radio
ONAY,onay
One Word Women Tecnical and Vocational Institute,one word women tecnical and vocational institute
ONGD Atelier,ongd atelier
OPAC Consulting Engineers,opac consulting engineers
Open Burkina,open burkina
Open Data Watch,open data watch
Opportunity International,opportunity international
Order of Cistercians of the Strict Observance,order of cistercians of the strict observance
Organization for Peace and Reconciliation and Development Sierra Leone,organization for peace and reconciliation and development sierra leone
Organization of African Unity Peace Fund,organization of african unity peace fund
Orthodox Church Aid and Missions FILANTROPIA,orthodox church aid and missions filantropia
Österreichs Agentur für Bildung und Internationalisierung,osterreichs agentur fur bildung und internationalisierung
OTT Consulting Ltd,ott consulting
Oxfam Intermón,oxfam intermon
Palm Foundation,palm foundation
Parami University,parami university
Parques Nacionales Naturales de Colombia,parques nacionales naturales de colombia
Partners for Democratic Change Senegal - Center for Civic Collaboration,partners for democratic change senegal center for civic collaboration
PATRIP Foundation,patrip foundation
Paz y Solidaridad,paz y solidaridad
PCI Media,pci media
People's Action for Community Transformation,people s action for community transformation
Permanent Court of Arbitration,permanent court of arbitration
